SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
1	1	3	11	39187	7300	0.51610712159890681505	0	1	719.3125060002785176	0	NaN	NaN	0	1	1	0	1	0
1	1	3	12	12707	1104	0.51615340320859104395	0	1	808.8073019971488975	0	NaN	NaN	0	1	1	0	1	0
1	1	3	13	156	7313	0.51619970542378723621	0	1	1055.127092004113365	0	NaN	NaN	0	1	1	0	1	0
1	1	3	14	9377	3250	0.51624599902424961329	0	1	1691.2967460011714138	0	NaN	NaN	0	1	1	0	1	0
1	1	3	15	6363	6726	0.51629230193793773651	0	1	1368.8161219979519956	0	NaN	NaN	0	1	1	0	1	0
1	1	3	16	46117	8054	0.51633858692366629839	0	1	662.35510499973315746	0	NaN	NaN	0	1	1	0	1	0
1	1	3	17	18068	7613	0.51638488867320120335	0	1	864.79954799870029092	0	NaN	NaN	0	1	1	0	1	0
1	1	3	18	51595	6236	0.51643116993363946676	0	1	1064.2813890008255839	0	NaN	NaN	0	1	1	0	1	0
1	1	3	19	60986	2259	0.51647746912203729153	0	1	902.73135300230933353	0	NaN	NaN	0	1	1	0	1	0
1	1	3	20	62950	3968	0.51652376062702387571	0	1	1065.9325390006415546	0	NaN	NaN	0	1	1	0	1	0
1	1	3	21	70125	2980	0.51657004980370402336	0	1	1242.1637930019642226	0	NaN	NaN	0	1	1	0	1	0
1	1	3	22	51993	9718	0.5166163536487147212	0	1	808.17125200701411813	0	NaN	NaN	0	1	1	0	1	0
1	1	3	23	32189	1550	0.51666264759842306376	0	1	887.64607300254283473	0	NaN	NaN	0	1	1	0	1	0
1	1	3	24	70125	2980	0.51670883956830948591	1	1	952.29301500512519851	0	2	NaN	1	1	0	1	2	0
1	1	3	25	51228	6274	0.51680143026169389486	0	1	1815.2008359975297935	0	NaN	NaN	0	1	1	0	1	0
1	1	3	26	16149	6666	0.51684772432781755924	0	1	1089.6035330006270669	0	NaN	NaN	0	1	1	0	1	0
1	1	3	27	26954	3580	0.51689401362091302872	0	1	1260.8144979967619292	0	NaN	NaN	0	1	1	0	1	0
1	1	3	28	57047	791	0.51694030559156090021	0	1	1065.0578260028851219	0	NaN	NaN	0	1	1	0	1	0
1	1	3	29	15556	7771	0.51698660058900713921	1	1	779.6508170067681931	0	99	NaN	1	1	0	1	2	0
1	1	3	30	25261	7985	0.51703290315344929695	1	1	828.0438110014074482	0	55	NaN	1	1	0	1	2	0
1	1	3	31	54124	5651	0.51707918604370206594	0	0	2065.8005079967551865	0	NaN	NaN	0	0	0	1	2	0
1	1	3	32	62342	4786	0.51712548721116036177	0	1	1317.2357119983644225	0	NaN	NaN	0	1	1	0	1	0
1	1	3	33	59480	5910	0.51717178383842110634	0	1	855.0538089984911494	0	NaN	NaN	0	1	1	0	1	0
1	1	3	34	53541	6588	0.51721807033754885197	0	1	1360.6955020004534163	0	NaN	NaN	0	1	1	0	1	0
1	1	3	35	54927	5925	0.51726436731405556202	0	1	1250.9145470030489378	0	NaN	NaN	0	1	1	0	1	0
1	1	3	36	38891	5699	0.51735696091782301664	0	1	1469.4014869965030812	0	NaN	NaN	0	1	1	0	1	0
1	1	3	37	56555	3719	0.51740325649734586477	0	1	990.60509999981150031	0	NaN	NaN	0	1	1	0	1	0
1	1	3	38	57088	5440	0.51744953950401395559	0	1	1418.4013859994593076	0	NaN	NaN	0	1	1	0	1	0
1	1	3	39	32702	9470	0.51749583415221422911	0	1	1193.5459009982878342	0	NaN	NaN	0	1	1	0	1	0
1	1	3	40	9256	1330	0.51754213322419673204	0	1	884.7935289959423244	0	NaN	NaN	0	1	1	0	1	0
1	1	3	41	17897	8935	0.51758842507842928171	0	1	903.40037699934327975	0	NaN	NaN	0	1	1	0	1	0
1	1	3	42	7660	80	0.51763472531456500292	0	1	876.99752100161276758	0	NaN	NaN	0	1	1	0	1	0
1	1	3	43	67143	2159	0.5176810193806886673	0	1	922.53067799902055413	0	NaN	NaN	0	1	1	0	1	0
1	1	3	44	35804	1866	0.5177273161243647337	0	1	1103.3292280044406652	0	NaN	NaN	0	1	1	0	1	0
1	1	3	45	34012	5965	0.51781990670133382082	0	1	2032.4699230041005649	0	NaN	NaN	0	1	1	0	1	0
1	1	3	46	33443	7512	0.51786619552876800299	0	1	783.93457600031979382	0	NaN	NaN	0	1	1	0	1	0
1	1	3	47	37021	4025	0.51791248982772231102	0	1	745.10648400610079989	0	NaN	NaN	0	1	1	0	1	0
1	1	3	48	37021	4025	0.51795868296176195145	1	1	705.3980060009052977	0	0	NaN	1	1	0	1	2	0
1	1	3	49	30374	403	0.51800497225485742092	0	1	1579.0932029995019548	0	NaN	NaN	0	1	1	0	1	0
1	1	3	50	53424	1665	0.51805127144325524569	0	0	1107.2980259996256791	0	NaN	NaN	0	0	0	1	2	0
1	1	3	51	37016	9667	0.51809756224974989891	0	1	830.39185000234283507	0	NaN	NaN	0	1	1	0	1	0
1	1	3	52	25960	340	0.51814386248588562012	0	1	920.79274100251495838	0	NaN	NaN	0	1	1	0	1	0
1	1	3	53	5119	6692	0.51819015282671898603	0	1	1685.9664340008748695	0	NaN	NaN	0	1	1	0	1	0
1	1	3	54	64648	3824	0.51828275062143802643	0	1	861.34823499742196873	0	NaN	NaN	0	1	1	0	1	0
1	1	3	55	33749	1160	0.51832903863396495581	0	1	859.09562099550385028	0	NaN	NaN	0	1	1	0	1	0
1	1	3	56	3372	7046	0.51837532594799995422	1	0	1531.4413700034492649	0	121	NaN	1	0	1	0	1	0
1	1	3	57	32142	7852	0.51842162804678082466	0	1	1712.5642950049950741	0	NaN	NaN	0	1	1	0	1	0
1	1	3	58	8735	5291	0.51846791594289243221	0	1	1093.1468700000550598	0	NaN	NaN	0	1	1	0	1	0
1	1	3	59	15277	3595	0.51851421152241528034	0	0	1847.4184700025944039	0	NaN	NaN	0	0	0	1	2	0
1	1	3	60	21487	2325	0.51856050512287765741	0	1	647.37869500095257536	0	NaN	NaN	0	1	1	0	1	0
1	1	3	61	5102	4285	0.51860680303070694208	0	1	755.81505100126378238	0	NaN	NaN	0	1	1	0	1	0
1	1	3	62	63807	8561	0.51865309884306043386	0	1	1218.9658630013582297	0	NaN	NaN	0	1	1	0	1	0
1	1	3	63	65973	3014	0.51869939069729298353	1	1	1322.9270129959331825	0	95	NaN	1	1	0	1	2	0
1	1	4	1	30374	403	0.52075944351963698864	1	1	1129.8486289961147122	0	14	NaN	1	1	0	1	2	0
1	1	4	2	44981	612	0.52080575493164360523	1	1	1560.8474890032084659	0	153	NaN	1	1	0	1	2	0
1	1	4	3	70328	4687	0.52085203712340444326	0	1	1079.806136003753636	0	NaN	NaN	0	1	1	0	1	0
1	1	4	4	38219	9425	0.52089833817444741726	1	0	1835.990247993322555	0	170	NaN	1	0	1	0	1	0
1	1	4	5	26697	7750	0.52094461827073246241	0	1	1126.3930659988545813	0	NaN	NaN	0	1	1	0	1	0
1	1	4	6	63442	3194	0.52099091967102140188	0	1	781.36971099593210965	0	NaN	NaN	0	1	1	0	1	0
1	1	4	7	47675	2628	0.52103721257299184799	0	1	1759.3424000006052665	0	NaN	NaN	0	1	1	0	1	0
1	1	4	8	31221	9722	0.52108350291382521391	0	1	1102.8499940002802759	0	NaN	NaN	0	1	1	0	1	0
1	1	4	9	63807	8561	0.52112979802768677473	1	1	1002.6672530002542771	0	9	NaN	1	1	0	1	2	0
1	1	4	10	63245	2670	0.52117609733249992132	0	1	722.75417500350158662	0	NaN	NaN	0	1	1	0	1	0
1	1	4	11	43713	5109	0.52126867941115051508	0	1	840.27026900002965704	0	NaN	NaN	0	1	1	0	1	0
1	1	4	12	15523	3457	0.52131497312802821398	0	1	1376.3599540034192614	0	NaN	NaN	0	1	1	0	1	0
1	1	4	13	5034	9972	0.52136126288678497076	0	1	1079.0303120011230931	0	NaN	NaN	0	1	1	0	1	0
1	1	4	14	65415	899	0.52140757150482386351	0	1	1420.7101670035626739	0	NaN	NaN	0	1	1	0	1	0
1	1	4	15	47164	5741	0.52145385858602821827	0	1	921.16502000135369599	0	NaN	NaN	0	1	1	0	1	0
1	1	4	16	66267	3831	0.5215001481119543314	0	1	1779.6141240032739006	0	NaN	NaN	0	1	1	0	1	0
1	1	4	17	70857	3799	0.52154644101392477751	0	1	1088.2657990005100146	0	NaN	NaN	0	1	2	0	1	0
1	1	4	18	60388	2517	0.5215927420649677515	0	1	834.42284999910043553	0	NaN	NaN	0	1	1	0	1	0
1	1	4	19	49759	6504	0.52163903682958334684	0	1	1160.1211149973096326	0	NaN	NaN	0	1	1	0	1	0
1	1	4	20	15492	3548	0.52173152088653296232	0	1	2056.1729100008960813	0	NaN	NaN	0	1	1	0	1	0
1	1	4	21	38883	6399	0.52177781460341066122	0	1	1054.6794830006547272	0	NaN	NaN	0	1	1	0	1	0
1	1	4	22	36930	3095	0.5218241160036996007	0	1	1402.0564099992043339	0	NaN	NaN	0	1	1	0	1	0
1	1	4	23	19768	9021	0.52187040576245635748	0	1	2114.4897780031897128	0	NaN	NaN	0	1	1	0	1	0
1	1	4	24	38438	9121	0.52191669878084212542	0	1	1427.2596359951421618	0	NaN	NaN	0	1	1	0	1	0
1	1	4	25	32142	7852	0.52196299168281257153	1	1	839.98353700008010492	0	30	NaN	1	1	0	1	2	0
