SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA	people_count	animal_count	shared1000	interaction_type
1	21	7	59	42924	4608	150.60639308625832	0	0.0	3167.9510199464858	1.0			0	0.0	1	1	2.0	0	0	5	False	
1	22	5	55	42924	4608	154.7063625777373	1	1.0	1037.7392509981291	0.0	620.0		0	0.0	0	1	2.0	0	0	5	False	
1	29	4	29	42924	4608	206.57462693750855	1	1.0	1134.9149809993833	0.0	5161.0	5782.0	0	0.0	0	1	2.0	0	0	5	False	
1	21	7	60	21923	6080	150.60643938416615	0	1.0	1155.3637629840523	0.0			0	1.0	1	0	1.0	0	1	0	False	
1	23	7	10	21923	6080	157.57933117647187	1	1.0	919.4241430086547	0.0	1449.0		0	0.0	0	1	2.0	0	1	0	False	
1	24	1	2	21923	6080	161.6944829322165	1	1.0	1191.904979001265	0.0	366.0	1816.0	0	0.0	0	1	2.0	0	1	0	False	
1	21	7	61	52365	3263	150.60648566822056	0	1.0	1305.9025650145484	0.0			0	1.0	1	0	1.0	0	0	0	False	
1	21	8	35	52365	3263	150.61013699357864	1	1.0	839.0865699620916	0.0	36.0		1	1.0	0	1	2.0	0	0	0	False	
1	33	5	61	52365	3263	231.74044657743073	1	1.0	1592.2962439944968	0.0	8837.0	8874.0	0	0.0	0	1	2.0	0	0	0	False	
1	21	7	62	52355	5937	150.6065319663612	0	1.0	1230.6527059990913	0.0			0	1.0	1	0	1.0	0	0	1	False	
1	21	12	40	52355	5937	150.62961863959208	1	1.0	641.4121229900047	0.0	290.0		1	1.0	0	1	2.0	0	0	1	False	
1	24	9	20	52355	5937	161.73489887430333	1	0.0	1537.1481239853892	0.0	2041.0	2332.0	0	1.0	1	0	1.0	0	0	1	False	
1	21	8	1	20563	8716	150.60842420789413	0	1.0	1339.6183939184991	0.0			0	1.0	1	0	1.0	0	0	3	False	
1	21	10	28	20563	8716	150.61985388514583	1	1.0	803.3285420387982	0.0	151.0		1	1.0	0	1	2.0	0	0	3	False	
1	23	4	21	20563	8716	157.56578816729595	1	1.0	1667.8274199948646	0.0	1117.0	1269.0	0	0.0	0	1	2.0	0	0	3	False	
1	21	8	6	45529	8487	150.60865568905135	0	1.0	1158.1306079169735	0.0			0	1.0	1	0	1.0	0	1	0	False	
1	22	2	32	45529	8487	154.69077556510456	1	0.0	1608.0696459976025	0.0	400.0		0	1.0	1	0	1.0	0	1	0	False	
1	22	6	5	45529	8487	154.7082990204217	1	1.0	709.8749580036383	0.0	222.0	623.0	1	1.0	0	1	2.0	0	1	0	False	
1	21	8	10	28104	3545	150.60884086054284	0	1.0	1806.691869045608	0.0			0	1.0	1	0	1.0	0	1	0	False	
1	38	7	56	28104	3545	252.79559379653077	1	1.0	1762.798620000467	0.0	12732.0		0	0.0	0	1	2.0	0	1	0	False	
1	38	8	35	28104	3545	252.79965982586145	1	1.0	640.9369960001641	0.0	41.0	12774.0	1	1.0	0	1	2.0	0	1	0	False	
1	21	8	12	30162	5622	150.60897974588443	0	0.0	1403.5228620050475	0.0			0	0.0	0	1	2.0	0	0	2	False	
1	28	10	59	30162	5622	203.74173943465573	1	1.0	1051.4428509995923	0.0	5421.0		0	0.0	0	1	2.0	0	0	2	False	
1	29	8	46	30162	5622	206.59394119272477	1	1.0	729.0664359998118	0.0	611.0	6033.0	0	0.0	0	1	2.0	0	0	2	False	
1	21	8	13	58393	6035	150.6090260380879	0	1.0	1120.7871210062876	0.0			0	1.0	1	0	1.0	0	7	0	False	
1	34	7	8	58393	6035	234.68510136846447	1	0.0	901.850337999349	0.0	9681.0		0	1.0	1	0	1.0	0	7	0	False	
1	34	7	14	58393	6035	234.68542540608905	1	1.0	702.7193140002055	0.0	5.0	9687.0	1	1.0	0	1	2.0	0	7	0	False	
1	21	8	17	65170	8612	150.60921121004503	0	1.0	1256.5322349546475	0.0			0	1.0	1	0	1.0	0	2	0	False	
1	21	9	32	65170	8612	150.61544823856093	1	1.0	1279.2713720118627	0.0	76.0		1	1.0	0	2	2.0	0	2	0	False	
1	21	9	52	65170	8612	150.61642031138763	1	1.0	654.0800330694765	0.0	19.0	96.0	1	1.0	0	1	2.0	0	2	0	False	
